"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_lower","a22_a12_lower","a21_a11_upper","a22_a12_upper","distanceTu","distanceTe","distanceTu_lower","distanceTu_upper","distanceTe_lower","distanceTe_upper"
"V26","SR2","SR4",3,"Cd",1.36673997869509,2.21070419245509,0.00995252780875577,0.021424652350659,0.020121135954991,-0.012717305888871,0.0402965994490342,30.4261160747071,0,-0.0678157782861201,55.3823531107532,0,-0.801152633830977,8.45615973227078,0,-1.27779656919752,1.06478343959227,28.5031308323701,-0.268336049869537,0.702324074276897,1.16291608590188,-1.92383210401862,-0.200311512371827,-0.518652043157656,-0.404790759123043,-1.86235755534726,-0.156496176998402
"V27","SR1","SR5",3,"Cd",1.12624682096635,1.92773610457787,0.00295382278770183,0.0268564344133842,-0.0102405669027107,0.0544451575895292,-0.574435514635393,19.5891394594933,0,-0.193076813964802,33.6144439783775,0,-1.48426393637017,11.8858818371443,0,18.4321001978217,-2.62255348444384,-8.8284998999227,-0.484259380033314,8.57849712736242,15.4725053910958,-0.474545310457939,-0.893034614344066,-2.5000584959101,-0.412698566737867,-1.64856567517321,-0.46420434343816
"V28","SR2","SR5",3,"Cd",1.36673997869509,1.92773610457787,0.00995252780875577,0.0268564344133842,0.0177303115270829,0.00424536405886675,-0.429633002695707,7.41470446968221,1,0.272386352075175,31.8793710189321,1,-2.36292223315435,1.41900643357962,0,0.426561386257256,1.51471869923781,13.5107625587956,3.55242485506586,1.2965241142733,1.31494663929072,0.550871788920361,0.0332277646871804,0.542851773285943,-0.0402578246370423,0.342334997124799,-0.0334470322192134
"V29","SR1","SR4",4,"Cd",1.24310268256993,1.88900539563734,0.00644464899941042,0.00708755196255896,0.0117490604592687,-0.0334639131888978,0.0879366580252451,40.32581933893,0,-1.09061489406191,76.778648202417,0,-0.108393325297974,23.6373122432789,0,-5.1925113674863,0.603244147660137,12.8947782625458,4.81207435530135,-0.459818475090421,1.01502898113717,-2.36930768560048,-0.445965598514446,-0.504633375736958,-1.41975599568267,-0.37713490287068,-0.195910618501127
"V30","SR2","SR4",4,"Cd",1.21823073199908,1.88900539563734,0.00105692146478939,0.00708755196255896,-0.00403199576250523,0.0330939565104945,-0.456427284697515,23.3605110820065,0,-0.0109432364653371,57.4376369123231,0,-1.03243526505626,8.08067575691467,0,31.3116514452557,-1.75782723495602,-1.32433340329253,0.695455027978383,4.89563877472835,2.76293013514082,-0.540859652306787,-1.09001168101176,-1.9220517302625,-0.37129415713582,-0.390341402821785,-0.225518632874995
"V31","SR1","SR5",4,"Cd",1.24310268256993,2.52603613884729,0.00644464899941042,0.0458339790759804,0.0191527827458559,0.0735793734821602,-0.706929737569266,6.18017600201205,0,-0.747495378183303,12.3219618884438,0,-0.737502969908216,3.50608511291018,1,11.4171265943097,2.39307152825599,-10.6232526375255,5.28249711210971,5.65007424595678,2.00494342070664,-0.369955744343506,-0.0615019340078907,-2.59041559346396,0.282145763155865,-0.270229995524825,0.00534037378021857
"V32","SR2","SR5",4,"Cd",1.21823073199908,2.52603613884729,0.00105692146478939,0.0458339790759804,-0.0207897483039803,0.0116722467630983,-0.483354475502534,17.679417610096,0,-0.0174006039884901,66.191232501468,0,-0.850936658936428,7.51071501529317,0,11.0436273194851,-2.20464328888509,1.65217447001015,-0.523905196305209,3.44205688679671,16.2827061041895,-0.359059351618656,-0.875196836906317,-0.0949172966057669,-0.166622370723291,-1.53757099976221,-0.388025226369508
"V33","SR1","SR4",5,"Cd",1.34748814016202,1.90352498412508,0.0142430527879406,0.0344643934850396,0.0319788629594833,0.00561220022737265,-0.545385869651905,10.1907580468938,0,0.146139186200623,37.6172001486316,0,-1.93155631231321,3.38156811913297,0,0.3940307117393,1.07772416826406,-9.81075015534542,0.894833224732658,1.10888633844441,1.15074579772503,-0.579444150822755,-0.132004973946854,-2.42401215691701,-0.117809515133164,-0.224840836346798,-0.0994202842853773
"V34","SR2","SR4",5,"Cd",1.61608260185857,1.90352498412508,0.00294009440998762,0.0344643934850396,0.0362017025916167,0.0186517184006302,-0.380785809223862,6.32398555906885,1,0.276798560874707,44.105128025181,0,-0.508788905460001,2.50052555302233,1,6.34391818754852,0.952010292825857,0.905521187182908,1.27670317911211,2.64832531446708,0.882341012703151,0.547565313066459,0.106067833649154,-0.131029066356187,0.342864492627145,-0.0394555928634144,0.143913540514787
"V35","SR1","SR5",5,"Cd",1.34748814016202,2.52475922688618,0.0142430527879406,0.0478538897067063,-0.0286003660024927,0.0205593768833893,-0.137481772084205,13.0825771211319,1,0.162742646016205,76.9260855384416,0,-0.423482774372613,8.46643674883719,1,1.44346701437466,-1.67319151449095,-5.49024787816383,-0.591185412787575,1.92918103111436,-8.71794488007401,0.115611304082698,1.02894748572203,-2.4711763575776,0.0120268980720185,-1.52713354347423,0.604456980000097
"V36","SR2","SR5",5,"Cd",1.61608260185857,2.52475922688618,0.00294009440998762,0.0478538897067063,0.0223605789019327,0.0085017720387702,-1.17836360872877,5.28111528591739,0,0.20919161762111,55.0730763707032,0,-0.988968169695868,0.645019430232959,1,2.89166633897515,2.14010066182008,1.68059258724592,-16.0976755681951,2.06869671660929,1.42653185106626,-0.236432331405336,-0.132259068261304,-0.0326239436738433,0.119103191760331,-0.631420743237132,0.0420176445052305
