"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_lower","a22_a12_lower","a21_a11_upper","a22_a12_upper","distanceTu","distanceTe","distanceTu_lower","distanceTu_upper","distanceTe_lower","distanceTe_upper"
"V11","SR1","SR4",4,"N",2.37838760832914,5.2389753644074,0.039316183967453,0.0943018929117516,0.0732497770016808,0.056870576115489,-1.45162352378097,5.91539556662067,0,-0.650065738439093,11.4686583090442,0,-1.0846241384586,5.33526190659153,0,1.44649277667863,1.28740177474653,0.553339412926653,1.15455066614095,1.80036721871421,1.35358361533286,-0.178723260660427,-0.234249256121197,-0.639234504014516,-0.0808535307192957,-0.287630235682553,-0.21012293236339
"V12","SR2","SR4",4,"N",2.25659276270779,5.2389753644074,0.0342835498348527,0.0943018929117516,0.0360299022277639,0.0673065078947143,-1.17017209402484,0.324218233693713,1,-0.536698255932636,4.04813911717761,1,-2.11840822550147,2.62645175033868,0,1.96323041863916,2.61732303117616,1.62025846753807,10.3326323902059,2.04752997578359,1.98691336582827,0.0643957469904505,0.0417610442986217,0.14624472478316,-0.0476038260190273,0.31023513519619,-0.059563288247706
"V13","SR1","SR5",4,"N",2.37838760832914,6.87156196912803,0.039316183967453,0.0937489394969331,0.0817552320304296,0.124086726123331,-0.582988916767663,5.12188003663197,1,-0.428317654504345,6.244953309886,1,-0.687076132135512,4.67602198209332,0,3.15612334671273,1.14670262891602,3.44659233972741,0.846634459969611,3.0410372293634,1.34148293039197,0.0263765676951929,0.383951249820781,0.0508263299299924,-0.0155176505863531,0.535044968348182,-0.307364282663147
"V14","SR2","SR5",4,"N",2.25659276270779,6.87156196912803,0.0342835498348527,0.0937489394969331,0.0326577279827859,0.112575197331578,-1.59852395609154,0.0541139749695088,1,-1.1044178565028,6.15133068164806,0,-1.23761800081854,2.53303068165873,0,3.28365055176211,2.87065100016599,5.31084216737009,15.9523030203824,2.78538427985849,2.14877072372611,0.0216844089779526,0.0179065408396489,-0.131185374648856,-0.0273846906221012,-0.254695345871267,-0.118271713172196
"V15","SR1","SR4",5,"N",3.34480684668274,6.83669992593848,0.0159851001497388,0.0872718988217912,0.0670485865853339,0.136540576266503,-0.464892588723268,1.98207624685199,1,-0.337827887060363,6.32097710814969,1,-0.553675777679596,0.294429629608545,1,8.54174043249483,1.30162175321502,-9.21751126990775,1.42009103671308,4.22401316895537,1.25849060877187,0.338463293113246,0.200088266980691,2.57852120492135,0.222543094933723,0.158521016986764,0.216436263402595
"V16","SR2","SR4",5,"N",2.77099010448427,6.83669992593848,0.0507761064933799,0.0872718988217912,0.0923432586177138,0.149315156762176,-0.509632868954863,5.31797297311821,1,-0.36295401825764,6.23898770081595,1,-0.61672603474354,4.971450913843,1,2.94065786201318,0.945081429095791,3.39101707828809,0.688547862807371,2.73079389410309,1.11587756332834,0.0572842226840765,0.428548774336011,0.0983080911421647,0.0340485064120456,0.582721305701574,0.345610618414725
"V17","SR1","SR5",5,"N",3.34480684668274,8.00669529178396,0.0159851001497388,0.110704666520859,0.0347513598511305,0.204464620242824,-0.841727488048602,5.86191442831323,0,-0.953961151406271,11.0688119056901,0,-0.864918306263244,3.10977085691654,0,12.7909502178605,3.18562113813965,-15.7598190829918,8.94933995557455,5.84952965177675,2.47698906015271,-0.317693320154319,-0.0915455088225886,-2.682510208337,-0.226397760165293,-0.284436412121345,-0.0120092181636318
"V18","SR2","SR5",5,"N",2.77099010448427,8.00669529178396,0.0507761064933799,0.110704666520859,-0.021065694298053,0.17328970987335,-0.521191241954822,8.15561071222638,0,-0.288529355285554,14.8636544790389,0,-0.713939198680962,4.49857477212324,0,3.41281996278985,-5.25521091090223,4.11309142095762,-1.56070691871355,3.08649879179032,101.992836228934,-0.0481477612131256,-0.521221276543956,-0.094683286966202,-0.0198623767106873,-0.903016682699976,-0.323377739536586
"V19","SR1","SR4",1,"Cd",1.31545414113706,2.46849360468594,0.0133727361377563,0.0500797793376942,0.0326093649277089,0.0207011853240416,-2.63600285813257,2.45650533566102,0,0.200197241752698,39.3045603076385,0,-1.07106437615274,0.27989965235566,1,1.54801419176995,1.53574837929887,-79.7339504273166,1.34766705480515,2.27072273042728,1.63764408179493,-0.0839323329108115,-0.0875640918895646,-2.639433631691,0.0747857219216576,-0.148758303593125,0.0585834641865375
"V20","SR2","SR4",1,"Cd",1.52192086816902,2.46849360468594,0.0367789132415034,0.0500797793376942,0.0210662043606157,0.0445760260271808,-0.731233383191998,0.242798280455913,1,-0.140652067203489,0.798361230100856,1,-1.92758437438932,0.139837167202721,1,1.21199954263137,2.37725688407926,0.435068601741485,41.323796119942,1.60546563813519,1.6739048873175,0.137357972271853,0.15430848992039,0.607937136743481,0.004576437568811,0.528296939436054,0.0139817475552637
