"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_lower","a22_a12_lower","a21_a11_upper","a22_a12_upper"
"17","SR1","SR4",5,"N",2.67261020011772,5.07370007254647,-0.0166456612038809,0.0374016681848358,0.0378754630087259,0.0776156290375052,-0.194838568803692,5.57514032376521,1,-0.415259928297363,1.96902354613386,1,0.278309588173184,4.71634749759523,1,-4.66281441673278,0.987490718627495,-0.894053712131663,-0.640109343653716,8.71731097101894,1.1448448531817
"18","SR2","SR4",5,"N",2.52131142813436,5.07370007254647,0.0333883983102909,0.0374016681848358,0.073639186987257,0.104819169983197,-0.297135258410916,6.97329809106593,1,-0.513117541669826,4.61491726206377,1,-0.0213457550442017,12.5963239246427,1,3.13938898802731,0.507904414959226,6.47797074813333,-0.0779791848229402,2.49418286752061,0.855252614924606
"19","SR1","SR5",5,"N",2.67261020011772,5.03578462269216,-0.0166456612038809,0.0410499961114989,0.0049755365608886,0.13310153012339,-0.806896495540306,14.0323433146215,0,-0.730360749408025,7.56624519436167,0,-0.125795515179955,43.4180889719036,0,-7.99616960198362,8.25036568602113,-2.12542175942049,0.0447750673305531,12.8465817452876,2.57870180825075
"20","SR2","SR5",5,"N",2.52131142813436,5.03578462269216,0.0333883983102909,0.0410499961114989,-0.0401219031850262,0.100525141160036,-0.156848181672819,19.7909689587681,0,-0.414559446363564,10.6609362563605,0,0.0463547489274854,33.7207253739136,0,3.01078057790667,-1.02313182707691,6.15816623573183,0.0159553354223814,2.4025245470706,-4.68456345671296
"110","SR1","SR4",1,"Cd",1.26351761910693,2.07931934761026,0.0089685446002037,0.0219434759841362,0.0255938201309114,-0.011320657763344,0.0105904707829204,32.1082809230624,0,-1.86097245148371,4.55645178616619,0,0.0535480116177747,52.1318160928361,0,-1.26226252619481,0.857374001688538,8.84000000566268,0.0937536616916119,1.14963748334157,1.20115501387705
"21","SR2","SR4",1,"Cd",1.55969094881684,2.07931934761026,0.0407974755806802,0.0219434759841362,0.0185628236174462,0.0229571871297744,-0.64452912887875,6.77883020770033,0,-2.01129047927299,3.03435520266472,0,0.25342168994552,2.73575264304467,1,0.562710971770172,1.18211951136102,-0.405193772221473,-0.861545788196929,1.05818737773424,1.09116670740174
"31","SR1","SR5",1,"Cd",1.26351761910693,2.68523011583444,0.0089685446002037,0.0497275505003977,0.0161563695741974,0.0401760775122655,-1.22064484218706,4.95382900140018,0,-2.02902246817842,2.47456128460472,0,-0.483090400144509,15.4756821765389,0,4.47966524148779,3.07789137107976,-2.66786526423942,6.28329562308962,2.77320306625116,2.65050564362183
"41","SR2","SR5",1,"Cd",1.55969094881684,2.68523011583444,0.0407974755806802,0.0497275505003977,0.0256111879311032,0.0196504503298864,-0.385665565688215,7.8080298343958,1,-0.754956533738195,4.16868808558952,0,0.0381130279041704,17.1831814627256,1,0.481658486222416,1.94163389196042,-0.437798386572317,3.63331858463266,0.952334128220542,1.69254611548489
"51","SR1","SR4",2,"Cd",1.0987863502299,1.36301317702015,-0.000853826040006002,-0.0100720235408293,-0.0035455089235316,-0.040243207883532,-0.694710286637622,75.7151496095804,0,-0.0131606346859746,32.2369308560479,0,-0.535800533558761,81.8308241839252,0,47.1327952041016,2.84078358228943,6.02012677664372,1.39474013458768,-1.54013048572357,0.58456551711729
"71","SR1","SR5",2,"Cd",1.0987863502299,1.61200056004721,-0.000853826040006002,0.00832991601697603,-0.00042152256929758,0.0451563645702495,-1.69568613611735,18.1347699778172,0,-1.15261318130046,11.2861071851828,0,0.155783400213469,59.9026651792028,0,-52.8870782272371,-19.7614946949505,-2.59027735597335,1.7280208004321,6.65886089278238,3.76517582352804
"91","SR1","SR4",3,"Cd",1.15527753648758,1.98012395060521,0.00919601755497531,0.00720689261846817,-0.00759887937084332,0.0519102495845067,-0.201714535254998,24.2481125029892,0,-1.64928781810862,9.95413887738841,0,0.201152946781079,47.9011060351209,0,5.64486194966231,-0.948415189497653,9.5650453977158,1.07428905931611,4.97662872075785,6.07769095099583
"101","SR2","SR4",3,"Cd",1.48180406728173,1.98012395060521,0.0246412954986757,0.00720689261846817,0.0277985348018363,-0.0293897589515133,-0.144301382752811,35.4675989678732,0,-0.470108337657006,14.9753866685033,0,-0.739997699417326,65.3798005326223,0,-1.19270348237546,0.259254405667168,-13.4796768493144,-2.65761818527447,0.140471420168686,0.794993390700148
"111","SR1","SR5",3,"Cd",1.15527753648758,1.87601887146516,0.00919601755497531,0.0279423710426443,-0.00785574353076302,0.0459869187740765,-0.522699578964586,16.911296227154,0,-0.801584218326522,12.8528681353019,0,-0.113763625367486,29.9499793283294,0,5.00074282146148,-3.55693524530456,8.97875386084686,-0.511629973963044,4.32265231965448,-48.2840947438981
"121","SR2","SR5",3,"Cd",1.48180406728173,1.87601887146516,0.0246412954986757,0.0279423710426443,0.0257896360706795,-0.00361699373594206,-0.208817417379029,16.1120631326676,0,-0.849408817705529,6.36044812130849,0,0.20880601273081,30.607349012309,1,-0.146785859377258,1.0834728712753,-7.39596640742878,1.98502970087879,0.639772822085986,1.01194498810846
"131","SR1","SR4",4,"Cd",1.200718945236,1.59739898298631,0.00519047379567646,-0.0138874923365627,0.00619439616290338,-0.0558411358482072,-0.681741291802171,64.1971148454144,0,-0.0394168857537939,38.0609634690359,0,-1.06830743712307,75.2233970287171,0,-10.758388934498,-2.24194448842831,16.1974463378034,5.0397481292597,-2.06388040558853,0.325741288848034
"141","SR2","SR4",4,"Cd",1.21785610689394,1.59739898298631,0.0020095534911097,-0.0138874923365627,-0.00432965127802642,0.0103017168743831,0.28561317142762,56.5724947966437,0,-0.433945039272382,1.70883046032238,1,-0.755854785721147,89.4759239749616,0,5.12637106698481,3.20753137950016,1.02944259332225,1.85111169205007,2.22805001824862,0.641805268628804
"151","SR1","SR5",4,"Cd",1.200718945236,2.28767439648265,0.00519047379567646,0.0308624799646733,0.0139779146347975,0.0548685836289834,-0.676353108266679,6.40413407094154,0,-0.756026336440414,4.49757158416081,0,-1.17412297930124,17.1024047488413,0,10.5710164021419,2.20794594694708,-5.95975459028677,-16.3601717050799,5.23907517564213,1.99780516349582
"161","SR2","SR5",4,"Cd",1.21785610689394,2.28767439648265,0.0020095534911097,0.0308624799646733,-0.0209888470212478,-0.00684263132420051,0.255668640384439,71.6607336113013,0,-0.489676494140813,4.35727241632108,1,-0.048386122511431,75.9414966920043,0,-3.40505060177418,-1.47042283615818,3.51279587037742,-0.112193888498026,1.48889376924825,12.0556793208576
"171","SR1","SR4",5,"Cd",1.39251693563214,1.74160186503294,0.0228281689134599,0.020501122807589,0.0333857079772811,-0.00952860876632039,-0.220173306797183,23.4535530138602,0,-0.667800474174427,10.67405672731,0,-0.0605545393389915,43.6072545189173,0,-0.417405741233242,0.61406883512969,-3.73265681079355,0.0573859651330199,0.370660231886831,0.829540971829261
"181","SR2","SR4",5,"Cd",1.38607014420333,1.74160186503294,-0.0160806069289715,0.020501122807589,0.0168103043672238,0.00324407438030044,0.11743722934036,29.0683307753072,1,-0.320764036824047,7.92289451084275,1,-0.258644300052272,70.8195735739337,0,-0.201738304693946,1.21955690746215,0.779346558616176,-0.206769071451216,49.0238138536399,1.02941611952608
"191","SR1","SR5",5,"Cd",1.39251693563214,2.5401949645773,0.0228281689134599,0.0517102866554444,-0.0271574132010364,0.0140843165795878,-0.0195705994177078,6.71089959661363,1,-0.322124574064574,5.66902767505756,1,0.212382250047878,80.8722273927991,0,0.616970928898439,-1.90409470418453,-2.01483174571694,-0.585985146838706,1.2425748702934,-14.1584049520093
"201","SR2","SR5",5,"Cd",1.38607014420333,2.5401949645773,-0.0160806069289715,0.0517102866554444,0.00187871913635195,0.00143441958260836,-0.0148064449349198,35.0151230407469,0,-0.714868024030763,9.37650345134061,0,0.021450699677029,56.2178568368517,0,-0.089201831059252,27.5242241668195,0.872197333829011,-1.34955188754536,48.1486280509682,2.98128156302669
